assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-aspen-holder-rachael-richards,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,office-co-aspen-mayor,Rachael E. Richards is the current Mayor.,current_office,src-co-aspen-city-council,City Council roster — Mayor,person-co-aspen-rachael-richards,Person
asrt-co-aspen-holder-sam-rose,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,office-co-aspen-council-at-large-2023-sam-rose,Sam Rose is a current at-large Councilmember.,current_office,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-sam-rose,Person
asrt-co-aspen-leadership-john-doyle,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,Mayor Pro Tem,The official roster identifies John Doyle as Mayor Pro Tem.,leadership_role,src-co-aspen-city-council,City Council roster — Mayor Pro Tem,lead-co-aspen-mayor-pro-tem-john-doyle,LeadershipRole
asrt-co-aspen-mayor-term-limit,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,3,A Mayor may serve no more than three consecutive terms.,consecutive_term_limit,src-co-aspen-municipal-code,Charter §3.10,office-co-aspen-mayor,Office
asrt-co-aspen-mayor-term-rule,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2,The Mayor is elected at large for a two-year term.,mayor_term_length_years,src-co-aspen-municipal-code,Charter §3.3,office-co-aspen-mayor,Office
asrt-co-aspen-official-url,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,https://www.aspen.gov/,The City of Aspen official website is the governing source domain.,official_url,src-co-aspen-city-council,City Council — official site,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-placefp,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,03620,The Census place code for Aspen is 03620.,placefp,src-co-aspen-census-incplace-2025,Colorado incorporated-place row,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-sworn-bill-guth,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2023-04,The official roster reports swearing-in in April 2023.,sworn_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-bill-guth,Person
asrt-co-aspen-sworn-christine-benedetti,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2025-04,The official roster reports swearing-in in April 2025.,sworn_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-christine-benedetti,Person
asrt-co-aspen-sworn-john-doyle,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Preserved as source text; it predates the reported April 2025 election and is not used as the current-term valid_from.,TEXT,2021-06,The current roster states that John Doyle was sworn in during June 2021.,source_swearing_period,src-co-aspen-city-council,City Council roster — Mayor Pro Tem,person-co-aspen-john-doyle,Person
asrt-co-aspen-sworn-rachael-richards,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2025-04,The official roster reports swearing-in in April 2025.,sworn_period,src-co-aspen-city-council,City Council roster — Mayor,person-co-aspen-rachael-richards,Person
asrt-co-aspen-sworn-sam-rose,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2023-04,The official roster reports swearing-in in April 2023.,sworn_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-sam-rose,Person
asrt-co-aspen-term-end-bill-guth,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2027-04,The official roster reports the term ending in April 2027.,term_end_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-bill-guth,Person
asrt-co-aspen-term-end-christine-benedetti,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2029-04,The official roster reports the term ending in April 2029.,term_end_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-christine-benedetti,Person
asrt-co-aspen-term-end-john-doyle,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2029-04,The official roster reports the term ending in April 2029.,term_end_period,src-co-aspen-city-council,City Council roster — Mayor Pro Tem,person-co-aspen-john-doyle,Person
asrt-co-aspen-term-end-rachael-richards,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2027-04,The official roster reports the term ending in April 2027.,term_end_period,src-co-aspen-city-council,City Council roster — Mayor,person-co-aspen-rachael-richards,Person
asrt-co-aspen-term-end-sam-rose,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2027-04,The official roster reports the term ending in April 2027.,term_end_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-sam-rose,Person
asrt-co-aspen-wheeler-address,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,"320 East Hyman Avenue, Aspen, CO 81611",The Wheeler Opera House is an official municipal facility at 320 East Hyman Avenue.,official_facility_address,src-co-aspen-wheeler-opera-house,Wheeler Opera House directory,jurisdiction-co-aspen,Jurisdiction
